"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 12 16:45:46 UTC 2026","Sun Apr 12 16:45:46 UTC 2026","195","","SoloTraningApiTest","","SoloTraningApiTest","taskThree","taskThree[0]","Проверка данных пользователя по ID негативный кейс"
"passed","Sun Apr 12 16:45:48 UTC 2026","Sun Apr 12 16:45:48 UTC 2026","78","","SoloTraningApiTest","","SoloTraningApiTest","taskThree","taskThree[2]","Проверка данных пользователя по ID негативный кейс"
"passed","Sun Apr 12 16:45:40 UTC 2026","Sun Apr 12 16:45:41 UTC 2026","1179","","SauceDemoTest","","SauceDemoTest","loHiFilter","loHiFilter()","Filter from low to high price test"
"passed","Sun Apr 12 16:45:47 UTC 2026","Sun Apr 12 16:45:47 UTC 2026","171","","SoloTraningApiTest","","SoloTraningApiTest","taskSix","taskSix[1]","запрос удаления"
"passed","Sun Apr 12 16:45:48 UTC 2026","Sun Apr 12 16:45:48 UTC 2026","124","","SoloTraningApiTest","","SoloTraningApiTest","taskFive","taskFive[2]","Пут запрос"
"passed","Sun Apr 12 16:45:46 UTC 2026","Sun Apr 12 16:45:47 UTC 2026","306","","SoloTraningApiTest","","SoloTraningApiTest","testUserShema","testUserShema[0]","Проверка схемы"
"passed","Sun Apr 12 16:45:47 UTC 2026","Sun Apr 12 16:45:47 UTC 2026","89","","SoloTraningApiTest","","SoloTraningApiTest","taskThree","taskThree[1]","Проверка данных пользователя по ID негативный кейс"
"passed","Sun Apr 12 16:45:44 UTC 2026","Sun Apr 12 16:45:46 UTC 2026","1523","","SoloTraningApiTest","","SoloTraningApiTest","taskOne","taskOne[0]","Проверка данных пользователя по ID"
"passed","Sun Apr 12 16:45:48 UTC 2026","Sun Apr 12 16:45:48 UTC 2026","186","","FirstApiTest","","FirstApiTest","negativeStatus","negativeStatus",""
"passed","Sun Apr 12 16:45:49 UTC 2026","Sun Apr 12 16:45:49 UTC 2026","81","","FirstApiTest","","FirstApiTest","testGetUser","testGetUser",""
"passed","Sun Apr 12 16:45:49 UTC 2026","Sun Apr 12 16:45:49 UTC 2026","95","","FirstApiTest","","FirstApiTest","userInfo","userInfo",""
"passed","Sun Apr 12 16:45:48 UTC 2026","Sun Apr 12 16:45:48 UTC 2026","140","","SoloTraningApiTest","","SoloTraningApiTest","taskFour","taskFour[2]","Пост запрос"
"passed","Sun Apr 12 16:45:42 UTC 2026","Sun Apr 12 16:45:43 UTC 2026","1027","","SauceDemoTest","","SauceDemoTest","successfulLoginTest","successfulLoginTest()","Succses User Login"
"passed","Sun Apr 12 16:45:47 UTC 2026","Sun Apr 12 16:45:47 UTC 2026","108","","SoloTraningApiTest","","SoloTraningApiTest","taskOne","taskOne[1]","Проверка данных пользователя по ID"
"passed","Sun Apr 12 16:45:48 UTC 2026","Sun Apr 12 16:45:48 UTC 2026","106","","SoloTraningApiTest","","SoloTraningApiTest","taskSix","taskSix[2]","запрос удаления"
"passed","Sun Apr 12 16:45:47 UTC 2026","Sun Apr 12 16:45:47 UTC 2026","146","","SoloTraningApiTest","","SoloTraningApiTest","taskFour","taskFour[1]","Пост запрос"
"broken","Sun Apr 12 16:45:43 UTC 2026","Sun Apr 12 16:45:44 UTC 2026","1243","","SauceDemoTest","","SauceDemoTest","addToCartTest","addToCartTest()","Add to cart + cart badge count"
"passed","Sun Apr 12 16:45:48 UTC 2026","Sun Apr 12 16:45:49 UTC 2026","79","","FirstApiTest","","FirstApiTest","testUserCityById","testUserCityById",""
"passed","Sun Apr 12 16:45:47 UTC 2026","Sun Apr 12 16:45:48 UTC 2026","108","","SoloTraningApiTest","","SoloTraningApiTest","taskOne","taskOne[2]","Проверка данных пользователя по ID"
"passed","Sun Apr 12 16:45:48 UTC 2026","Sun Apr 12 16:45:48 UTC 2026","81","","SoloTraningApiTest","","SoloTraningApiTest","testUserShema","testUserShema[2]","Проверка схемы"
"passed","Sun Apr 12 16:45:32 UTC 2026","Sun Apr 12 16:45:40 UTC 2026","7716","","SauceDemoTest","","SauceDemoTest","addTwoProductsToCartTest","addTwoProductsToCartTest()","adding 2 positions to cart"
"passed","Sun Apr 12 16:45:48 UTC 2026","Sun Apr 12 16:45:48 UTC 2026","179","","FirstApiTest","","FirstApiTest","testGetUser1","testGetUser1",""
"passed","Sun Apr 12 16:45:46 UTC 2026","Sun Apr 12 16:45:46 UTC 2026","195","","SoloTraningApiTest","","SoloTraningApiTest","taskSix","taskSix[0]","запрос удаления"
"passed","Sun Apr 12 16:45:41 UTC 2026","Sun Apr 12 16:45:42 UTC 2026","965","","SauceDemoTest","","SauceDemoTest","lockedOutUserTest","lockedOutUserTest()","Locked Out User Login"
"passed","Sun Apr 12 16:45:47 UTC 2026","Sun Apr 12 16:45:47 UTC 2026","87","","SoloTraningApiTest","","SoloTraningApiTest","testUserShema","testUserShema[1]","Проверка схемы"
"passed","Sun Apr 12 16:45:47 UTC 2026","Sun Apr 12 16:45:47 UTC 2026","125","","SoloTraningApiTest","","SoloTraningApiTest","taskFive","taskFive[1]","Пут запрос"
"passed","Sun Apr 12 16:45:46 UTC 2026","Sun Apr 12 16:45:46 UTC 2026","213","","SoloTraningApiTest","","SoloTraningApiTest","taskFive","taskFive[0]","Пут запрос"
"passed","Sun Apr 12 16:45:46 UTC 2026","Sun Apr 12 16:45:46 UTC 2026","161","","SoloTraningApiTest","","SoloTraningApiTest","taskFour","taskFour[0]","Пост запрос"
